ticker,themes,score,setup,price,rsi,macd_hist,chg_1d,chg_7d,chg_1m,avg_dollar_vol,dist_to_high_pct,base_depth_pct,bbwidth_pctile,vol_dryup,overext,c_trend,c_base,c_vcp,c_volume,c_pivot,c_momentum,c_rs,c_hi52,mcap_usd,catalyst,catalyst_days,catalyst_n,buzz,first_scan_date,first_scan_price,pct_since_first,days_tracked
TSAT,espace,43.1,Setup en formation,46.23,48.7,0.324,-1.39,10.68,-7.8,15925018.0,21.8,31.0,32.0,0.0,0.0,0.3,1.0,0.589,0.008,0.0,0.796,0.595,0.273,709809300.151123,,,0,,2026-01-05,30.94,49.42,182
ALGM,semiconducteurs,43.1,En base (loin du pivot),55.49,50.7,0.312,-12.21,-7.77,10.24,209398154.0,22.7,44.9,99.0,0.0,0.0,1.0,0.285,0.005,0.051,0.0,0.5,0.929,0.244,11064895197.245972,Direction,18.0,1,,2026-01-12,30.17,83.92,175
CTS,gestion_thermique,42.8,En base (loin du pivot),60.5,40.2,-0.81,-5.22,-9.4,-9.27,26933074.0,13.0,22.5,17.0,0.0,0.0,0.831,1.0,0.525,0.0,0.13,0.0,0.706,0.568,1736161530.1034546,Direction,11.0,1,,2026-01-05,44.44,36.14,182
PENG,memoire|semiconducteurs,42.8,En base (loin du pivot),61.47,49.9,-0.825,-10.67,-7.94,-12.99,209145239.0,20.6,65.3,54.0,0.1,0.0,1.0,0.0,0.276,0.05,0.0,0.542,0.865,0.314,3599845040.649391,Direction,5.0,1,,2026-04-23,27.61,122.64,74
CRDO,ia,42.4,En base (loin du pivot),241.91,50.1,-3.888,-6.63,-9.75,5.64,2782417902.0,21.6,51.7,54.0,0.0,0.0,1.0,0.0,0.276,0.032,0.0,0.535,0.889,0.279,49903347552.170166,,,0,,2026-04-30,174.01,39.02,67
STM,semiconducteurs,41.9,En base (loin du pivot),68.35,46.0,-1.416,-3.35,-8.72,-13.94,1013022225.0,16.0,46.1,37.0,0.03,0.0,1.0,0.217,0.462,0.016,0.0,0.267,0.817,0.468,64250928471.41533,,,0,,2026-01-05,27.3,150.37,182
CEVA,semiconducteurs,41.7,En base (loin du pivot),40.42,45.1,-0.908,-11.18,-7.93,-18.52,40456764.0,21.7,53.2,47.0,0.21,0.0,1.0,0.0,0.319,0.107,0.0,0.501,0.81,0.278,1228319583.4610023,,,0,,2026-04-16,22.35,80.85,81
SHLS,equipement_electrique,41.7,En base (loin du pivot),9.95,49.3,-0.1,-1.68,0.91,-20.14,60124204.0,24.5,46.4,56.0,0.28,0.0,0.771,0.198,0.374,0.139,0.0,0.824,0.611,0.183,1749860102.509895,Contrat,24.0,2,,2026-01-05,8.89,11.92,182
MYRG,equipement_electrique,41.3,En base (loin du pivot),433.01,44.1,-2.302,-6.5,-11.15,-3.84,157323728.0,14.0,34.5,74.0,0.0,0.0,0.989,0.86,0.193,0.0,0.0,0.134,0.69,0.533,6962588652.361938,,,0,,2026-01-05,232.56,86.19,182
BE,equipement_electrique|production_energie,41.3,En base (loin du pivot),270.89,47.2,-3.157,-6.43,-12.38,-10.55,4072239265.0,22.9,38.5,64.0,0.0,0.0,1.0,0.639,0.214,0.055,0.0,0.363,0.746,0.237,83273789573.45215,Direction,14.0,2,,2026-01-27,152.31,77.85,160
