ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes
PSN,PSN,NYQ,8451677094.818115,79.13999938964844,Industrials,Aerospace & Defense,Neutral,-1,,,,10.0
PAYX,PAYX,NMS,48892440966.68701,135.9600067138672,Industrials,Human Resource & Employment Services,Strong Sell,-4,,Hold,3.13333,12.0
PAYC,PAYC,NYQ,12412456189.663696,220.63999938964844,Information Technology,Application Software,Strong Sell,-4,,,,15.0
PCTY,PCTY,NMS,9560608916.015625,173.32000732421875,Information Technology,Application Software,Strong Sell,-6,,Buy,1.7,19.0
PYPL,PYPL,NMS,66365328159.86133,69.46499633789062,Financials,Transaction & Payment Processing Services,Neutral,-1,,Buy,2.33333,32.0
PEGA,PEGA,NMS,9187049400.924438,53.70000076293945,Information Technology,Software - Application,Neutral,1,,,,12.0
PENN,PENN,NMS,2869186911.1175537,19.700000762939453,Consumer Discretionary,Casinos & Gaming,Strong Buy,4,,Buy,2.15,18.0
PAG,PAG,NYQ,12118487318.792725,183.49000549316406,Consumer Discretionary,Auto & Truck Dealerships,Buy,2,,,,7.0
PEN,PEN,NYQ,10528391888.68103,269.9649963378906,Health Care,Health Care Equipment,Buy,2,,Strong Buy,1.52632,17.0
PFGC,PFGC,NYQ,16246673508.058105,103.80000305175781,Consumer Staples,Food Distributors,Strong Buy,6,,Strong Buy,1.57143,12.0
PR,PR,NYQ,11214167465.32837,13.854999542236328,Energy,Oil & Gas Exploration & Production,Neutral,1,,Strong Buy,1.25,19.0
PFE,PFE,NYQ,145951027422.73047,24.81999969482422,Health Care,Pharmaceuticals,Neutral,1,,Buy,2.45833,22.0
PCG,PCG,NYQ,33572003206.390625,15.274999618530273,Utilities,Utilities - Regulated Electric,Buy,2,,Buy,1.9375,14.0
PSX,PSX,NYQ,52808904933.288574,130.6750030517578,Energy,Oil & Gas Refining & Marketing,Strong Buy,4,,,,19.0
PPC,PPC,NMS,10328543799.09961,43.47999954223633,Consumer Staples,Packaged Foods & Meats,Neutral,0,,Hold,2.77778,7.0
