ticker_tv,ticker_yf,exchange,market_cap,price,sector,industry,technical_local,tech_score,tv_reco,analyst_bucket,analyst_mean,analyst_votes,rank_score
WPC,WPC,NYQ,14518008474.375488,66.29499816894531,Real Estate,REIT - Diversified,Buy,2,,Hold,2.85714,11.0,1.55
TSN,TSN,NYQ,19994217621.8302,56.20000076293945,Consumer Staples,Packaged Foods & Meats,Neutral,-1,,Buy,2.46154,11.0,1.55
HUBB,HUBB,NYQ,22652519135.131836,426.2799987792969,Industrials,Industrial Machinery & Supplies & Components,Neutral,-1,,Buy,2.21429,11.0,1.55
MTD,MTD,NYQ,26136424588.134766,1268.820068359375,Health Care,Life Sciences Tools & Services,Neutral,-1,,Buy,2.30769,11.0,1.55
RJF,RJF,NYQ,33047898000.0,165.75,Financials,Investment Banking & Brokerage,Neutral,1,,Buy,2.46154,11.0,1.55
CBRE,CBRE,NYQ,47067087009.76953,158.17999267578125,Real Estate,Real Estate Services,Neutral,-1,,Buy,1.83333,11.0,1.55
NWL,NWL,NMS,2587942579.936981,6.175000190734863,Consumer Discretionary,Housewares & Specialties,Buy,2,,,,10.0,1.5
BRKR,BRKR,NMS,4389989415.453308,28.934999465942383,Health Care,Health Care Equipment,Strong Sell,-6,,Buy,2.16667,10.0,1.5
SPR,SPR,NYQ,4817701426.66626,41.029998779296875,Industrials,Aerospace & Defense,Buy,3,,,,10.0,1.5
TKR,TKR,NYQ,5262921488.746643,75.56999969482422,Industrials,Industrial Machinery & Supplies & Components,Sell,-3,,Buy,2.41667,10.0,1.5
ESI,ESI,NYQ,6083915932.295654,25.18000030517578,Materials,Specialty Chemicals,Buy,2,,,,10.0,1.5
INFA,INFA,NYQ,7604426388.168457,24.934999465942383,Information Technology,Software - Infrastructure,Buy,2,,,,10.0,1.5
MP,MP,NYQ,11633568052.368164,65.69000244140625,Materials,Diversified Metals & Mining,Neutral,-1,,Buy,1.6,10.0,1.5
BEN,BEN,NYQ,13177117372.447998,25.379899978637695,Financials,Asset Management & Custody Banks,Buy,2,,Hold,3.2,10.0,1.5
LNT,LNT,NMS,16528245487.019287,64.31999969482422,Utilities,Electric Utilities,Neutral,-1,,Buy,2.18182,10.0,1.5
GEN,GEN,NMS,18054199829.389526,29.315000534057617,Information Technology,Application Software,Sell,-2,,Buy,2.0,10.0,1.5
RKLB,RKLB,NCM,21477797693.410645,44.52159881591797,Industrials,Aerospace & Defense,Neutral,1,,Buy,1.84615,10.0,1.5
IRM,IRM,NYQ,26046858014.038086,88.19039916992188,Real Estate,Other Specialized REITs,Strong Sell,-6,,Buy,1.8,10.0,1.5
ATO,ATO,NYQ,26439105713.928223,164.7050018310547,Utilities,Gas Utilities,Buy,2,,Hold,2.5,10.0,1.5
ADM,ADM,NYQ,29596456334.757812,61.58000183105469,Consumer Staples,Agricultural Products & Services,Buy,2,,Hold,2.90909,10.0,1.5
BDX,BDX,NYQ,53678071173.76758,187.27499389648438,Health Care,Health Care Equipment,Sell,-3,,Buy,2.38462,10.0,1.5
FAST,FAST,NMS,57385283333.07422,49.48500061035156,Industrials,Building Products,Buy,2,,Hold,2.82353,10.0,1.5
ASH,ASH,NYQ,2487549015.1290894,54.42499923706055,Materials,Diversified Chemicals,Neutral,1,,Buy,1.81818,9.0,1.45
WSC,WSC,NCM,4245078908.758545,23.315000534057617,Industrials,Rental & Leasing Services,Strong Sell,-4,,Buy,2.22222,9.0,1.45
